seed,probe_fraction,memory_id,encoding_position,isyn_score,w_slow,w_fast,assembly_w_fast,gamma0_retention,elapsed_seconds
6042.0,0.25,3.0,3.0,0.0320058295037597,0.0257885456085205,0.0907710343599319,0.0872886255383491,,767.3200664520264
6042.0,0.5,0.0,0.0,0.0960754117113538,0.1164392307400703,0.0359481796622276,0.0364942848682403,,764.3381450176239
6042.0,0.5,1.0,1.0,0.0653273401549086,0.0836268812417984,0.0252532884478569,0.0236796662211418,,764.3381450176239
6042.0,0.5,2.0,2.0,0.0638023216306464,0.0697879716753959,0.0471199117600917,0.0459531284868717,,764.3381450176239
6042.0,0.5,3.0,3.0,0.0313904196664225,0.0252010766416788,0.0884566381573677,0.0814798176288604,,764.3381450176239
6042,0.75,0,0,0.12130020547192544,0.14579656720161438,0.03484310209751129,0.022177986800670624,,687.2315073013306
6042,0.75,1,1,0.08703176426934078,0.10736178606748581,0.02656800113618374,0.022425934672355652,,687.2315073013306
6042,0.75,2,2,0.07177569548366591,0.08718830347061157,0.04337810352444649,0.040715668350458145,,687.2315073013306
6042,0.75,3,3,0.03188848811259959,0.025517061352729797,0.09164462238550186,0.08493367582559586,,687.2315073013306
6042,1.0,0,0,0.1614113732939586,0.19359025359153748,0.034365274012088776,0.034514956176280975,,1371.241824388504
6042,1.0,1,1,0.12628068681806326,0.1435818076133728,0.028985602781176567,0.024783305823802948,,1371.241824388504
6042,1.0,2,2,0.09103692672215402,0.10207535326480865,0.04395027458667755,0.05052800104022026,,1371.241824388504
6042,1.0,3,3,0.027832693042000756,0.025370469316840172,0.08814586699008942,0.0692506656050682,,1371.241824388504
7042,0.0,0,0,0.02577565628234879,0.02813417837023735,0.06945636123418808,0.07640370726585388,0.008391081355512142,3024.000324010849
7042,0.0,1,1,0.024057332102529472,0.02569582499563694,0.019791705533862114,0.014213702641427517,0.0035141969565302134,3024.000324010849
7042,0.0,2,2,0.03342939826688962,0.02790692262351513,0.041023168712854385,0.05736780911684036,0.012613076716661453,3024.000324010849
7042,0.0,3,3,0.04000169020582689,0.03204195573925972,0.1013140082359314,0.08449332416057587,0.038707587867975235,3024.000324010849
7042,0.1,0,0,0.04433647368568927,0.050862282514572144,0.03806697204709053,0.04470102861523628,,1724.5762374401093
7042,0.1,1,1,0.02877970432746224,0.03396550938487053,0.021797535941004753,0.013949485495686531,,1724.5762374401093
7042,0.1,2,2,0.030334680574014783,0.024997835978865623,0.040910422801971436,0.04313180595636368,,1724.5762374401093
