seed,condition,memory_id,replay_count,retention,w_slow
25042,CONTROL,0,11,0.23450405918993056,0.05218818783760071
25042,CONTROL,1,12,0.25029296916909516,0.07351316511631012
25042,CONTROL,2,14,0.2533914966043085,0.07705521583557129
25042,CONTROL,3,8,0.23101353971287608,0.019074970856308937
26042,CONTROL,0,11,0.2409148581791669,0.06821925938129425
26042,CONTROL,1,11,0.24028027104213834,0.05618634819984436
26042,CONTROL,2,12,0.2462394821923226,0.06689777225255966
26042,CONTROL,3,11,0.22038590931333601,0.018282193690538406
27042,CONTROL,0,9,0.22993148816749454,0.05614469200372696
27042,CONTROL,1,18,0.2434536807704717,0.07255955785512924
27042,CONTROL,2,12,0.23467271984554827,0.05246605724096298
27042,CONTROL,3,6,0.225867320317775,0.01918228715658188
28042,CONTROL,0,8,0.23315166821703315,0.07169227302074432
28042,CONTROL,1,8,0.23018567077815533,0.05445341020822525
28042,CONTROL,2,15,0.23872894421219826,0.06722675263881683
28042,CONTROL,3,14,0.22216400736942887,0.018949653953313828
29042,CONTROL,0,11,0.25373039301484823,0.08990530669689178
29042,CONTROL,1,13,0.2453173389658332,0.05990338325500488
29042,CONTROL,2,12,0.24713160400278866,0.059563156217336655
29042,CONTROL,3,9,0.22948820120655,0.018386734649538994
20042,BOOST_MEM3,0,7,0.2309739300981164,0.06287017464637756
20042,BOOST_MEM3,1,15,0.24545083637349308,0.0904451310634613
20042,BOOST_MEM3,2,8,0.22945478511974216,0.05452176555991173
20042,BOOST_MEM3,3,15,0.21645092754624784,0.0179427620023489
21042,BOOST_MEM3,0,7,0.2324821026995778,0.05802684649825096
21042,BOOST_MEM3,1,8,0.24004060891456902,0.06484897434711456
21042,BOOST_MEM3,2,11,0.24617432919330895,0.06642062216997147
21042,BOOST_MEM3,3,19,0.21717423642985523,0.017860308289527893
22042,BOOST_MEM3,0,11,0.2600057607050985,0.09411519020795822
22042,BOOST_MEM3,1,7,0.2366813295520842,0.042398352175951004
22042,BOOST_MEM3,2,9,0.23894325457513332,0.042473405599594116
22042,BOOST_MEM3,3,18,0.23574760556221008,0.01607571355998516
23042,BOOST_MEM3,0,6,0.2311100522056222,0.061000674962997437
23042,BOOST_MEM3,1,5,0.22256535082124174,0.04479861259460449
