seed,condition,M0_retention,M0_replay,M0_wslow,M0_W_encode,M1_retention,M1_replay,M1_wslow,M1_W_encode,M2_retention,M2_replay,M2_wslow,M2_W_encode,M3_retention,M3_replay,M3_wslow,M3_W_encode
10042,NATURAL,0.3450172271113843,0,0.2013888955116272,0.0206197090446949,0.3073052929248661,0,0.12490518391132355,0.04477977752685547,0.291565626161173,0,0.10766401886940002,0.04662070423364639,0.24470917508006096,0,0.01799437589943409,0.03639301657676697
11042,NATURAL,0.3231796701438725,0,0.18203407526016235,0.023247744888067245,0.2845328173134476,0,0.11602136492729187,0.04351396486163139,0.2788113916758448,0,0.10772865265607834,0.044856682419776917,0.2378124645911157,0,0.017563452944159508,0.036158353090286255
12042,NATURAL,0.3165987597312778,0,0.18158912658691406,0.0209821704775095,0.2976504417601973,0,0.13685676455497742,0.04367634281516075,0.2774725172203034,0,0.09728854894638062,0.044252969324588776,0.23407269804738462,0,0.018632464110851288,0.03770167753100395
13042,NATURAL,0.3125044861808419,0,0.17745248973369598,0.019826896488666534,0.2775819224771112,0,0.12408456951379776,0.042798709124326706,0.26821567048318684,0,0.08811763674020767,0.043784596025943756,0.22987655736505985,0,0.020392466336488724,0.03568043187260628
14042,NATURAL,0.3327215649187565,0,0.19039547443389893,0.021735316142439842,0.29456999292597175,0,0.1275988519191742,0.04443119838833809,0.2830480504781008,0,0.08614351600408554,0.041715607047080994,0.2463720787782222,0,0.01767473667860031,0.03761795163154602
42,EQUALIZED,0.3453509460669011,28,0.2087833732366562,0.033244673162698746,0.27911330782808363,12,0.09471572935581207,0.05353137105703354,0.26837635156698525,5,0.07236486673355103,0.05565860867500305,0.2424663733690977,0,0.01967497542500496,0.04247139394283295
1042,EQUALIZED,0.3179722153581679,28,0.20747452974319458,0.021506929770112038,0.265189197845757,12,0.09063726663589478,0.043025292456150055,0.24997526803053916,5,0.0732545405626297,0.04468782991170883,0.22685238509438932,0,0.0175382811576128,0.034867241978645325
2042,EQUALIZED,0.33808633126318455,29,0.20771297812461853,0.020760660991072655,0.26297251624055207,12,0.09306301921606064,0.0442516952753067,0.26664089295081794,5,0.07132365554571152,0.045742496848106384,0.23378703137859702,0,0.018369147554039955,0.035770248621702194
3042,EQUALIZED,0.3272172932047397,28,0.20344612002372742,0.02188059873878956,0.26130639552138746,12,0.09809669852256775,0.044277090579271317,0.24679891671985388,5,0.07127007842063904,0.043435320258140564,0.22501777205616236,0,0.01582147181034088,0.03586795926094055
4042,EQUALIZED,0.3375702940393239,29,0.2048613429069519,0.01964382827281952,0.2657834147103131,12,0.10048240423202515,0.04400119185447693,0.2602161003742367,5,0.06895755976438522,0.04275374114513397,0.2354585046414286,0,0.019493378698825836,0.03752298280596733
5042,EQUALIZED,0.34933030093088746,29,0.21169845759868622,0.022269591689109802,0.2872447252739221,12,0.09060756862163544,0.04088051617145538,0.267448389204219,5,0.07044234871864319,0.046771030873060226,0.24305387726053596,0,0.019657285884022713,0.036536503583192825
6042,EQUALIZED,0.3265272274147719,28,0.1987900286912918,0.021685227751731873,0.25760953431017697,12,0.0951727107167244,0.044476866722106934,0.25465755676850677,5,0.06633314490318298,0.04406756907701492,0.22568083903752267,0,0.018256008625030518,0.03680546209216118
7042,EQUALIZED,0.3188105833251029,28,0.19639356434345245,0.020109739154577255,0.2569259353913367,12,0.09453248977661133,0.04352603852748871,0.2552480490412563,5,0.07057931274175644,0.04378526657819748,0.22628003335557878,0,0.020492883399128914,0.03705226257443428
8042,EQUALIZED,0.3323545535095036,28,0.19572818279266357,0.020529447123408318,0.2601800453849137,12,0.09834779798984528,0.044636063277721405,0.25382440141402185,5,0.06899276375770569,0.0422431118786335,0.23565978929400444,0,0.017066234722733498,0.03637509047985077
