seed,condition,memory_id,replay_count,retention,w_slow_contrib
19042,BOOST_MEM3,0,7,0.22710563172586262,0.04258086159825325
19042,BOOST_MEM3,1,7,0.22859188192524016,0.054107390344142914
19042,BOOST_MEM3,2,7,0.23050662828609347,0.05427704006433487
19042,BOOST_MEM3,3,24,0.22147453483194113,0.01886671409010887
42,SUPPRESS_MEM0,0,2,0.23348971083760262,0.03590825945138931
42,SUPPRESS_MEM0,1,15,0.25915561616420746,0.08425113558769226
42,SUPPRESS_MEM0,2,16,0.2627154921647161,0.09271273761987686
42,SUPPRESS_MEM0,3,12,0.2272295649163425,0.01901892013847828
1042,SUPPRESS_MEM0,0,0,0.20880405069328845,0.029651902616024017
1042,SUPPRESS_MEM0,1,15,0.2552781109698117,0.1004936620593071
1042,SUPPRESS_MEM0,2,14,0.23650400806218386,0.07124318182468414
1042,SUPPRESS_MEM0,3,16,0.21536690113134682,0.017581302672624588
2042,SUPPRESS_MEM0,0,1,0.22504770895466208,0.032958969473838806
2042,SUPPRESS_MEM0,1,16,0.25039114663377404,0.0875837504863739
2042,SUPPRESS_MEM0,2,14,0.24684243113733828,0.06182340532541275
2042,SUPPRESS_MEM0,3,15,0.22630588943138719,0.018084803596138954
3042,SUPPRESS_MEM0,0,1,0.22561878571286798,0.03148191049695015
3042,SUPPRESS_MEM0,1,13,0.22794165438972414,0.04461647942662239
3042,SUPPRESS_MEM0,2,16,0.24307010602205992,0.0675526037812233
3042,SUPPRESS_MEM0,3,15,0.2190497547853738,0.016089433804154396
4042,SUPPRESS_MEM0,0,2,0.23421201156452298,0.04661080241203308
4042,SUPPRESS_MEM0,1,13,0.2450291041750461,0.08855900913476944
4042,SUPPRESS_MEM0,2,13,0.24205185659229755,0.05314738303422928
4042,SUPPRESS_MEM0,3,17,0.22531779808923602,0.019190644845366478
5042,SUPPRESS_MEM0,0,0,0.22868256969377398,0.027946190908551216
5042,SUPPRESS_MEM0,1,21,0.2851818085182458,0.10520949214696884
5042,SUPPRESS_MEM0,2,13,0.2563466625288129,0.07286491990089417
5042,SUPPRESS_MEM0,3,12,0.23122541117481887,0.019359678030014038
6042,SUPPRESS_MEM0,0,2,0.22029474354349077,0.033496759831905365
6042,SUPPRESS_MEM0,1,16,0.23878049524500966,0.06793121993541718
6042,SUPPRESS_MEM0,2,21,0.2605373542755842,0.09094865620136261
6042,SUPPRESS_MEM0,3,7,0.22289323434233665,0.017721066251397133
7042,SUPPRESS_MEM0,0,1,0.2099679373204708,0.028816018253564835
7042,SUPPRESS_MEM0,1,19,0.2405866391491145,0.09178100526332855
7042,SUPPRESS_MEM0,2,14,0.2441097106784582,0.07626413553953171
7042,SUPPRESS_MEM0,3,11,0.21267776284366846,0.020559173077344894
8042,SUPPRESS_MEM0,0,2,0.2381661154795438,0.03763826936483383
8042,SUPPRESS_MEM0,1,15,0.2639566883444786,0.10059703886508942
8042,SUPPRESS_MEM0,2,13,0.2653261285740882,0.08772996813058853
8042,SUPPRESS_MEM0,3,15,0.22781284945085645,0.016631614416837692
9042,SUPPRESS_MEM0,0,1,0.2079796278849244,0.03689563274383545
9042,SUPPRESS_MEM0,1,10,0.23067038948647678,0.0586036741733551
9042,SUPPRESS_MEM0,2,19,0.2430579848587513,0.08481111377477646
9042,SUPPRESS_MEM0,3,15,0.21344920038245618,0.01982858218252659
10042,SUPPRESS_MEM0,0,0,0.22598294261842966,0.030153675004839897
10042,SUPPRESS_MEM0,1,16,0.255616785492748,0.08182062953710556
10042,SUPPRESS_MEM0,2,15,0.25019494630396366,0.07163655012845993
10042,SUPPRESS_MEM0,3,15,0.23215922596864402,0.017381275072693825
11042,SUPPRESS_MEM0,0,2,0.2225753276143223,0.03136438503861427
11042,SUPPRESS_MEM0,1,14,0.24659489886835217,0.07868514209985733
11042,SUPPRESS_MEM0,2,12,0.24433235079050064,0.06312267482280731
11042,SUPPRESS_MEM0,3,17,0.22399090323597193,0.017010575160384178
12042,SUPPRESS_MEM0,0,0,0.2198111624456942,0.028393780812621117
12042,SUPPRESS_MEM0,1,15,0.2529648458585143,0.0846463218331337
12042,SUPPRESS_MEM0,2,12,0.24216412752866745,0.07240093499422073
12042,SUPPRESS_MEM0,3,18,0.21930869738571346,0.0183411855250597
13042,SUPPRESS_MEM0,0,1,0.2206639654468745,0.03490351513028145
13042,SUPPRESS_MEM0,1,12,0.23114857077598572,0.06029235199093819
13042,SUPPRESS_MEM0,2,12,0.23469846486113966,0.05156906694173813
13042,SUPPRESS_MEM0,3,20,0.2197313578799367,0.0200088731944561
14042,SUPPRESS_MEM0,0,1,0.2226508215535432,0.031999774277210236
14042,SUPPRESS_MEM0,1,9,0.2395328579004854,0.06564805656671524
14042,SUPPRESS_MEM0,2,19,0.26244638045318425,0.08521021902561188
14042,SUPPRESS_MEM0,3,16,0.22385196899995208,0.01704978756606579
15042,SUPPRESS_MEM0,0,0,0.22066415310837328,0.03127029910683632
15042,SUPPRESS_MEM0,1,19,0.26470674807205796,0.1074126809835434
15042,SUPPRESS_MEM0,2,9,0.2434898796491325,0.05954219773411751
15042,SUPPRESS_MEM0,3,17,0.21865733084268868,0.018496118485927582
16042,SUPPRESS_MEM0,0,0,0.22399122826755047,0.02710259146988392
16042,SUPPRESS_MEM0,1,19,0.2456437509972602,0.07653246819972992
16042,SUPPRESS_MEM0,2,17,0.23278347379527986,0.053924888372421265
16042,SUPPRESS_MEM0,3,9,0.22519754990935326,0.01890033669769764
17042,SUPPRESS_MEM0,0,0,0.2131890335585922,0.02652610093355179
17042,SUPPRESS_MEM0,1,16,0.23034759308211505,0.05985924229025841
17042,SUPPRESS_MEM0,2,16,0.23560822987928987,0.07158783823251724
17042,SUPPRESS_MEM0,3,13,0.21544415084645152,0.01958143711090088
18042,SUPPRESS_MEM0,0,0,0.21859602560289204,0.031050782650709152
18042,SUPPRESS_MEM0,1,15,0.2503165223170072,0.0826687216758728
18042,SUPPRESS_MEM0,2,15,0.24969886522740126,0.07101631164550781
18042,SUPPRESS_MEM0,3,15,0.22082970151677728,0.018054181709885597
19042,SUPPRESS_MEM0,0,1,0.22848766157403588,0.03624992072582245
19042,SUPPRESS_MEM0,1,12,0.24814031994901597,0.07782618701457977
19042,SUPPRESS_MEM0,2,15,0.23713502963073552,0.05400514602661133
19042,SUPPRESS_MEM0,3,17,0.22743479860946536,0.018866853788495064
